FileType	fastq	Read submission file type								
LPL_P_PM1_230813	PRJEB115259	PromethION	LPL_P_PM1_230813_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PM1_230813.fastq.gz	701102834358e141a343fe5ea6123c42	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PF1_230608	PRJEB115259	PromethION	LPL_P_PF1_230608_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PF1_230608.fastq.gz	798976bca8736526d93f6f2f098c5f41	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PF1_230826	PRJEB115259	PromethION	LPL_P_PF1_230826_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PF1_230826.fastq.gz	9af4d0bd04689ec3537858094f842c85	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PF2_230603	PRJEB115259	PromethION	LPL_P_PF2_230603_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PF2_230603.fastq.gz	6d68f1d6df6987ed73407209d266507a	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PF2_230826	PRJEB115259	PromethION	LPL_P_PF2_230826_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PF2_230826.fastq.gz	ddbd83413a0f3696bc45152bff8d3622	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PM2_230622	PRJEB115259	PromethION	LPL_P_PM2_230622_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PM2_230622.fastq.gz	4c1fd153e0345a39988a935c9621951e	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PM2_230815	PRJEB115259	PromethION	LPL_P_PM2_230815_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PM2_230815.fastq.gz	547e40f873b75bf6aaedb18f9ed0dbaf	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_0_AF1_230502	PRJEB115259	PromethION	LPL_0_AF1_230502_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_0_AF1_230502.fastq.gz	2a8cfdb79765a64b90773f081aaee539	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_0_AF1_230729	PRJEB115259	PromethION	LPL_0_AF1_230729_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_0_AF1_230729.fastq.gz	2e614809c28ac26109b73ef0b446db88	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF1_230112	PRJEB115259	PromethION	RR_0_AF1_230112_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF1_230112.fastq.gz	59739d72c343202689da4f5ef9d7afd3	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF1_240428	PRJEB115259	PromethION	RR_0_AF1_240428_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF1_240428.fastq.gz	1d231c82e703e1a82f062a93fa175ae8	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF3_230114	PRJEB115259	PromethION	RR_0_AF3_230114_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF3_230114.fastq.gz	80e0bca18ef66ef8368aa0a85dca3531	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF3_230507	PRJEB115259	PromethION	RR_0_AF3_230507_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF3_230507.fastq.gz	625e5817267c8bc7ac8bf55041b132aa	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF2_230105	PRJEB115259	PromethION	RR_0_AF2_230105_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF2_230105.fastq.gz	e5198aeda19e852276493843c9b6ae02	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AF2_230507	PRJEB115259	PromethION	RR_0_AF2_230507_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AF2_230507.fastq.gz	db0322d6ae81d44fef6cfa557e3fe7f1	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AM1_230115	PRJEB115259	PromethION	RR_0_AM1_230115_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AM1_230115.fastq.gz	fbfd39b4afac718bdd89ba87c88546dd	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_0_AM1_230521	PRJEB115259	PromethION	RR_0_AM1_230521_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_0_AM1_230521.fastq.gz	50cd6261a9a3ca2bdcc4889b48b8d462	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_F_PF1_230322	PRJEB115259	PromethION	RR_F_PF1_230322_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_F_PF1_230322.fastq.gz	8d5f43286e35325ff3f863c4f2663e51	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_F_PF1_230521	PRJEB115259	PromethION	RR_F_PF1_230521_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_F_PF1_230521.fastq.gz	ed430df19c1ad4a9f4e585528d934a86	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_F_PM4_230308	PRJEB115259	PromethION	RR_F_PM4_230308_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_F_PM4_230308.fastq.gz	6ac8ebc0724f06fe4bf4c4436bbc5dac	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
RR_F_PM4_240331	PRJEB115259	PromethION	RR_F_PM4_240331_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	RR_F_PM4_240331.fastq.gz	d4a904306e39b77f25158072fb2abbb1	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_0_AM1_210513	PRJEB115259	PromethION	DMD_0_AM1_210513_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AM1_210513.fastq.gz	c54c85c9971028b6f79bf60b3f4a8039	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_0_AM1_240722	PRJEB115259	PromethION	DMD_0_AM1_240722_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AM1_240722.fastq.gz	6f07e2fdc6cdd49d063a44f213175726	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_0_AF1_211103	PRJEB115259	PromethION	DMD_0_AF1_211103_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AF1_211103.fastq.gz	c44772f9e69cb33f23b1de08d0c9c88f	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_0_AF1_240722	PRJEB115259	PromethION	DMD_0_AF1_240722_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AF1_240722.fastq.gz	c1573f47f25e4db05d12ea618bb5d0b4	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_B_PF1_210509	PRJEB115259	PromethION	DMD_B_PF1_210509_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PF1_210509.fastq.gz	cad39fe428e56d40d0846361b001e0f5	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_B_PF1_240722	PRJEB115259	PromethION	DMD_B_PF1_240722_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PF1_240722.fastq.gz	c1f656871e39aaf8634fc45757f85688	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_D_PF2_230521	PRJEB115259	PromethION	DMD_D_PF2_230521_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_D_PF2_230521.fastq.gz	8c99e70daef70919cf7d2aab45df51b3	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_D_PF2_240722	PRJEB115259	PromethION	DMD_D_PF2_240722_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_D_PF2_240722.fastq.gz	bc2a6e936f2ac25776b4de774fe04642	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_C_PM1_220303	PRJEB115259	PromethION	DMD_C_PM1_220303_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_C_PM1_220303.fastq.gz	4c328be3cb7e96519aadbf0a8cb512a0	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_C_PM1_221222	PRJEB115259	PromethION	DMD_C_PM1_221222_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_C_PM1_221222.fastq.gz	5f7037ebe4f3e5c43ce6a071b74aa92d	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_C_PM2_220303	PRJEB115259	PromethION	DMD_C_PM2_220303_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_C_PM2_220303.fastq.gz	ebe656bf3d4c347109bc2df3e0cae626	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
DMD_C_PM2_220630	PRJEB115259	PromethION	DMD_C_PM2_220630_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_C_PM2_220630.fastq.gz	4eab7f525c0f132780acf731093cfd40	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM1_230327	PRJEB115259	PromethION	SRTP_0_AM1_230327_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM1_230327.fastq.gz	e70827e0f68931e9f723da89353c2c15	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM1_231124	PRJEB115259	PromethION	SRTP_0_AM1_231124_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM1_231124.fastq.gz	0b5dccd3cd6698692d553f29d6988a6b	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF1_230226	PRJEB115259	PromethION	SRTP_0_AF1_230226_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF1_230226.fastq.gz	561015e0ed5866747c4ecb79ffc61528	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF1_231125	PRJEB115259	PromethION	SRTP_0_AF1_231125_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF1_231125.fastq.gz	dfd2584a2839769ddbcbbb7bfd8e5835	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM2_230226	PRJEB115259	PromethION	SRTP_0_AM2_230226_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM2_230226.fastq.gz	ae937e5ea618b8935057af182dbff23f	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM2_231124	PRJEB115259	PromethION	SRTP_0_AM2_231124_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM2_231124.fastq.gz	54deff711a99be8322de1ae7ead7e4ec	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF3_230226	PRJEB115259	PromethION	SRTP_0_AF3_230226_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF3_230226.fastq.gz	57365283b7cd13d106a0aa78d9004a36	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF3_231130	PRJEB115259	PromethION	SRTP_0_AF3_231130_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF3_231130.fastq.gz	607b727a8df17ba99a510bb18f5a3a8a	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM3_230327	PRJEB115259	PromethION	SRTP_0_AM3_230327_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM3_230327.fastq.gz	9ad6c05596371c647f61b65478db754a	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AM3_231125	PRJEB115259	PromethION	SRTP_0_AM3_231125_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AM3_231125.fastq.gz	30e27ad00ace727d6c193245964e8a3c	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF5_200226	PRJEB115259	PromethION	SRTP_0_AF5_200226_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF5_200226.fastq.gz	bbb0addb359ffd769a608ba1c7d300c4	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_0_AF5_231130	PRJEB115259	PromethION	SRTP_0_AF5_231130_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_0_AF5_231130.fastq.gz	c1b74b2e7409d5e2aab0f132d0e27ca2	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_G_PF1_230226	PRJEB115259	PromethION	SRTP_G_PF1_230226_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_G_PF1_230226.fastq.gz	de4b5a84371c54933ad5b3e8b28a1adc	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_G_PF1_231130	PRJEB115259	PromethION	SRTP_G_PF1_231130_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_G_PF1_231130.fastq.gz	73ad2729e943528c3b3106f6395add72	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_H_PM2_230604	PRJEB115259	PromethION	SRTP_H_PM2_230604_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_H_PM2_230604.fastq.gz	004a6c2c4f954460190d470dc848e843	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
SRTP_H_PM2_231130	PRJEB115259	PromethION	SRTP_H_PM2_231130_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	SRTP_H_PM2_231130.fastq.gz	f860eecea5bd889ca0632ab661993894	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AM1_230714	PRJEB115259	PromethION	PP_0_AM1_230714_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AM1_230714.fastq.gz	e1b59cfe914f314b3f6f2b52f7bb0976	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AM1_230814	PRJEB115259	PromethION	PP_0_AM1_230814_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AM1_230814.fastq.gz	0674bd97d0bfdc04da9f012675e3d901	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AF2_230714	PRJEB115259	PromethION	PP_0_AF2_230714_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AF2_230714.fastq.gz	35623c854f2298c9a1105d2dd0f2fd45	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AF2_230814	PRJEB115259	PromethION	PP_0_AF2_230814_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AF2_230814.fastq.gz	d8a2b2eaf7c5c1e104f31d39d1371aaf	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AM2_230714	PRJEB115259	PromethION	PP_0_AM2_230714_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AM2_230714.fastq.gz	4ec6f57ef0fb9ded2cdf6e64a93b3157	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_0_AM2_230814	PRJEB115259	PromethION	PP_0_AM2_230814_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_0_AM2_230814.fastq.gz	d7fc2921628e76f36fcdc014e36957be	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_K_PF1_230724	PRJEB115259	PromethION	PP_K_PF1_230724_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_K_PF1_230724.fastq.gz	107e7e6aa5d1a8f982bf56d7e3ced58c	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_K_PF1_230904	PRJEB115259	PromethION	PP_K_PF1_230904_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_K_PF1_230904.fastq.gz	554896630a1849f06823d7ee9970cdd5	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_K_PF2_230806	PRJEB115259	PromethION	PP_K_PF2_230806_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_K_PF2_230806.fastq.gz	6e63f5c487132784b92f8e5c6523a814	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
PP_K_PF2_230918	PRJEB115259	PromethION	PP_K_PF2_230918_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	PP_K_PF2_230918.fastq.gz	53d7488473984d618b6240918cb261ec	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
