stable_viral_candidate_id	viral_candidate_branch	seq_name	context_original_contig_id	context_assembly_id	context_assembly_path	context_length	context_sequence_md5	context_basalt_match_method	context_basalt_status	context_basalt_bins	context_basalt_runs	context_basalt_assemblies	context_max_completeness	context_min_contamination	genomad_length	genomad_topology	genomad_coordinates	genomad_n_genes	genomad_genetic_code	genomad_virus_score	genomad_fdr	genomad_n_hallmarks	genomad_marker_enrichment	genomad_taxonomy	checkv_contig_length	checkv_provirus	checkv_proviral_length	checkv_gene_count	checkv_viral_genes	checkv_host_genes	checkv_checkv_quality	checkv_miuvig_quality	checkv_completeness	checkv_completeness_method	checkv_contamination	checkv_kmer_freq	checkv_warnings
DOGMAG_VIR000020	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1952	contig_1952	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	35532	932bcd940e20ca51243d030819420016		unbinned						35532	No terminal repeats	NA	68	11	0.9172	NA	5	17.9521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	35532	No	NA	68	5	2	Medium-quality	Genome-fragment	55.19	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000021	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2094	contig_2094	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	25070	e9ab31d0da4ed1c19384794706882e1b		unbinned						25070	No terminal repeats	NA	53	11	0.9302	NA	0	4.6741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	25070	No	NA	53	1	5	Medium-quality	Genome-fragment	64.87	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000022	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2146	contig_2146	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	138814	c2626d884dde87ca2c374410d69a56f2		unbinned						138814	No terminal repeats	NA	225	11	0.9767	NA	13	57.9468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	138814	No	NA	225	45	3	Medium-quality	Genome-fragment	89.03	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000023	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2162	contig_2162	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	6331	133fa381c832a1b075602e37703880eb		unbinned						6331	No terminal repeats	NA	7	11	0.9679	NA	1	1.5495	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	6331	No	NA	7	1	0	High-quality	High-quality	96.76	HMM-based (lower-bound)	0.0	1.01	
DOGMAG_VIR000024	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2241	contig_2241	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	37806	c39e639945a50d8fde862c8b62e12579		unbinned						37806	No terminal repeats	NA	66	11	0.9594	NA	9	34.7194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	37806	No	NA	66	7	0	Medium-quality	Genome-fragment	58.8	AAI-based (high-confidence)	0.0	1.01	
DOGMAG_VIR000025	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2256	contig_2256	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	35685	39cbefca055cdb7294f663f0363e9a42		unbinned						35685	No terminal repeats	NA	79	11	0.9511	NA	13	32.6282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	35685	No	NA	79	12	0	High-quality	High-quality	91.35	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000026	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2269	contig_2269	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	16324	a497368dc7fc1cd43a7e8d649d9c2b20		unbinned						16324	No terminal repeats	NA	27	11	0.9735	NA	4	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	16324	No	NA	27	7	0	Medium-quality	Genome-fragment	56.98	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000027	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2349	contig_2349	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	26791	6a4863c2ae3972965efec9317efc4dcf		unbinned						26791	No terminal repeats	NA	60	11	0.9784	NA	6	13.7349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae	26791	No	NA	60	15	0	Medium-quality	Genome-fragment	57.38	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000028	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2351	contig_2351	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	28473	690724a16328b16633dca2e91f6420f2		unbinned						28473	No terminal repeats	NA	42	11	0.7372	NA	2	4.8512	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	28473	No	NA	42	3	0	Medium-quality	Genome-fragment	68.38	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000029	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2429	contig_2429	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	43043	1ed96fae333d7fc039e8e2f7a6273660		unbinned						43043	No terminal repeats	NA	107	11	0.9757	NA	19	50.1795	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	43043	No	NA	107	21	0	Medium-quality	Genome-fragment	62.33	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000030	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2442	contig_2442	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	44734	00f002c1c747e9c5067b783d75700804		unbinned						44734	No terminal repeats	NA	77	11	0.9769	NA	14	47.8536	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	44734	No	NA	77	30	1	High-quality	High-quality	98.49	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000031	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2447	contig_2447	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	135633	957899e219d1f3785c3fb64c73024627		unbinned						135633	No terminal repeats	NA	209	11	0.9771	NA	12	89.4752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	135633	No	NA	209	37	2	High-quality	High-quality	98.57	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000032	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_2465	contig_2465	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	194637	95193648c5593f7dd7db099b681e2470		unbinned						194637	No terminal repeats	NA	386	11	0.9609	NA	38	186.6872	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	194637	No	NA	386	91	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.02	
DOGMAG_VIR000033	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_258	contig_258	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	52025	186d53b99a0fdd43ab7e78ab0dc5a907		unbinned						52025	No terminal repeats	NA	102	11	0.9183	NA	2	16.1417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	52025	Yes	48593	102	7	2	Medium-quality	Genome-fragment	68.5	HMM-based (lower-bound)	6.6	1.0	
DOGMAG_VIR000034	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_536	contig_536	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	41768	f656cbfe5864a1220e2d6696684a68d1		unbinned						41768	No terminal repeats	NA	85	11	0.9724	NA	2	29.2418	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	41768	No	NA	85	3	1	Medium-quality	Genome-fragment	56.37	HMM-based (lower-bound)	0.0	1.02	
DOGMAG_VIR000035	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_612|provirus_1801047_1833085	contig_612	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	3488561	5f4066dcbf1b2c85fb778bfc00d00f29		unbinned						32039	Provirus	1801047-1833085	40	11	0.8461	NA	0	11.8408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	32039	No	NA	40	1	3	Medium-quality	Genome-fragment	50.03	HMM-based (lower-bound)	0.0	1.01	
DOGMAG_VIR000036	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_612|provirus_317891_363912	contig_612	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	3488561	5f4066dcbf1b2c85fb778bfc00d00f29		unbinned						46022	Provirus	317891-363912	52	11	0.9598	NA	2	42.0805	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	46022	No	NA	53	5	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000037	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_612|provirus_889788_946354	contig_612	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	3488561	5f4066dcbf1b2c85fb778bfc00d00f29		unbinned						56567	Provirus	889788-946354	73	11	0.9794	NA	6	65.0892	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56567	No	NA	72	11	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000038	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_749	contig_749	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	39630	aa528d22e1845a49b5eb37df8ed7b453		unbinned						39630	No terminal repeats	NA	79	11	0.9812	NA	8	23.6638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae	39630	No	NA	79	23	0	Medium-quality	Genome-fragment	81.8	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000039	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_820	contig_820	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	37244	fc336397003f75a9106850efc934cf62		unbinned						37244	No terminal repeats	NA	70	11	0.9791	NA	6	26.8882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	37244	No	NA	70	7	0	Medium-quality	Genome-fragment	61.21	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000040	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_1187	contig_1187	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	46872	bab07280f475a6f48ebc106ea35a832c		unbinned						46872	No terminal repeats	NA	67	11	0.9571	NA	4	42.3680	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	46872	No	NA	67	8	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000041	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_1271	contig_1271	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	41363	c3183f549b58a5796a0dc70d5ae700e2		unbinned						41363	No terminal repeats	NA	59	11	0.9462	NA	11	29.0391	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	41363	Yes	39275	59	27	2	Medium-quality	Genome-fragment	68.81	HMM-based (lower-bound)	5.05	1.0	
DOGMAG_VIR000042	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_1557	contig_1557	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	8367	bf2e9dc907d94dc4ca908dfcd51d1100		unbinned						8367	No terminal repeats	NA	15	11	0.9480	NA	3	6.0315	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	8367	No	NA	15	5	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
DOGMAG_VIR000043	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_1722	contig_1722	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	38954	0d5e976bb6d2f39c84664134c68276ed		unbinned						38954	No terminal repeats	NA	63	11	0.9712	NA	14	59.3260	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	38954	No	NA	63	38	0	High-quality	High-quality	94.89	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000044	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_1876|provirus_774_40558	contig_1876	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	55560	50ce57a231406dc7eb04055e74089978		unbinned						39785	Provirus	774-40558	76	11	0.9665	NA	15	40.6130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	39785	No	NA	78	25	0	High-quality	High-quality	91.47	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000045	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_18|provirus_1492620_1543309	contig_18	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	2266715	2046af5ab511adb4e8721e5f3d79bcb7		unbinned						50690	Provirus	1492620-1543309	71	11	0.9514	NA	4	44.8073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	50690	Yes	47401	71	10	4	High-quality	High-quality	100.0	AAI-based (medium-confidence)	6.49	1.0	
DOGMAG_VIR000046	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_2163|provirus_21529_54330	contig_2163	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	54681	b0f096449088099d8777a4759ef9583b		unbinned						32802	Provirus	21529-54330	57	11	0.9711	NA	3	22.9443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	32802	No	NA	57	8	0	Medium-quality	Genome-fragment	89.69	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000047	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_2201	contig_2201	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	13910	e767d18b2fc5206ae83fbaa007dd79df		unbinned						13910	No terminal repeats	NA	23	11	0.9737	NA	5	20.1543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	13910	No	NA	23	12	0	Medium-quality	Genome-fragment	76.67	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000048	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_2368	contig_2368	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	39966	acaaeedaaac08fe2849fe7763d0ff8ca		unbinned						39966	No terminal repeats	NA	59	11	0.9533	NA	4	49.8588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	39966	No	NA	59	2	3	High-quality	High-quality	92.86	AAI-based (high-confidence)	0.0	1.01	
DOGMAG_VIR000049	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_2397	contig_2397	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	25348	621c817cf1f2f3f49f5313181cde09a4		unbinned						25348	No terminal repeats	NA	57	11	0.9793	NA	7	24.4965	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	25348	No	NA	57	12	0	Medium-quality	Genome-fragment	60.39	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000050	unbinned/free-virus	lr_flye_meta_dogfirst_alma__contig_2477	contig_2477	lr_flye_meta_dogfirst_alma	assemblies/lr_flye_meta_dogfirst_alma.fasta	22578	55ed9114bbae7ca653cb20fb5668185e		unbinned						22578	No terminal repeats	NA	48	11	0.9815	NA	8	36.5150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	22578	No	NA	48	11	0	Medium-quality	Genome-fragment	52.69	AAI-based (high-confidence)	0.0	1.0	
