mag_alias	mag_sample_accession	biosample_accession	scientific_name	ncbi_tax_id	gtdb_species	gtdb_taxonomy	source_assembly_id	source_sample_accessions	contig_count	genome_size_bp	completeness_percent	contamination_percent	n50_bp	assembly_analysis_accession	assembly_submission_status
DOGMAG_ANI95_MAG042	ERS31049489	SAMEA123300665	uncultured Eubacterium sp.	165185	Gallispira sp900543365	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira sp900543365	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	26	1947467	97.32	0.0	129975	ERZ29813474	submitted_multi_contig
DOGMAG_ANI95_MAG043	ERS31049490	SAMEA123300666	Coriobacteriaceae bacterium	2011094	Collinsella sp902362275	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275	DOGMAG_ASM041	ERS30645942,ERS30645943	589	1780984	70.16	0.61	3891	ERZ29813475	submitted_multi_contig
DOGMAG_ANI95_MAG044	ERS31049491	SAMEA123300667	Pediococcus acidilactici DSM 20284	862514	Pediococcus acidilactici	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	DOGMAG_ASM027	ERS30645994,ERS30645995	1	2106402	97.97	0.0	2106402		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG045	ERS31049492	SAMEA123300668	Blautia sp.	1955243	Blautia_A sp026169535	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp026169535	DOGMAG_ASM041	ERS30645942,ERS30645943	28	2361364	94.1	0.16	115075	ERZ29813476	submitted_multi_contig
DOGMAG_ANI95_MAG046	ERS31049493	SAMEA123300669	Megasphaera elsdenii DSM 20460	1064535	Megasphaera elsdenii	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	DOGMAG_ASM035	ERS30645936,ERS30645937	83	2121156	95.81	0.2	39733	ERZ29813477	submitted_multi_contig
DOGMAG_ANI95_MAG047	ERS31049494	SAMEA123300670	Anaerobiospirillum sp. NML120448	2932816	Anaerobiospirillum sp900543125	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	DOGMAG_ASM036	ERS30645958	138	2440585	79.57	0.88	46386	ERZ29813478	submitted_multi_contig
DOGMAG_ANI95_MAG048	ERS31049495	SAMEA123300671	Firmicutes bacterium CAG:646	1262995	Oliverpabstia sp000432335	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp000432335	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	24	2490123	90.51	1.27	157974	ERZ29813479	submitted_multi_contig
DOGMAG_ANI95_MAG049	ERS31049496	SAMEA123300672	uncultured Helicobacter sp.	175537	Helicobacter_B sp937906905	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	DOGMAG_ASM007	ERS30645988,ERS30645989	1	1951213	95.89	2.05	1951213		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG050	ERS31049497	SAMEA123300673	Bacteroides fragilis NCTC 9343	272559	Bacteroides fragilis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	DOGMAG_ASM013	ERS30645954,ERS30645955	1	5130015	97.58	0.37	5130015		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG051	ERS31049498	SAMEA123300674	uncultured Phascolarctobacterium sp.	512296	Phascolarctobacterium_A sp900544885	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900544885	DOGMAG_ASM014	ERS30645990,ERS30645991	1	2107600	98.65	1.2	2107600		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG052	ERS31049499	SAMEA123300675	Slackia faecicanis	255723	Slackia faecicanis	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia faecicanis	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	8	1960027	98.39	0.6	423850	ERZ29813480	submitted_multi_contig
DOGMAG_ANI95_MAG053	ERS31049500	SAMEA123300676	Bacteroides sp.	29523		d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	DOGMAG_ASM031	ERS30645962	79	2731120	90.11	3.08	70493	ERZ29813481	submitted_multi_contig
DOGMAG_ANI95_MAG054	ERS31049501	SAMEA123300677	Peptacetobacter sp. AB800	3388428	Peptacetobacter sp900539645	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900539645	DOGMAG_ASM041	ERS30645942,ERS30645943	52	2308661	98.6	0.0	61824	ERZ29813482	submitted_multi_contig
DOGMAG_ANI95_MAG055	ERS31049502	SAMEA123300678	Blautia hansenii DSM 20583	537007	Blautia hansenii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	DOGMAG_ASM010	ERS30645970,ERS30645971	12	2545483	97.2	0.64	301977	ERZ29813483	submitted_multi_contig
DOGMAG_ANI95_MAG056	ERS31049503	SAMEA123300679	Amedibacillus dolichus DSM 3991	428127	Amedibacillus dolichus	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	15	1978381	100.0	0.0	309035	ERZ29813484	submitted_multi_contig
DOGMAG_ANI95_MAG057	ERS31049504	SAMEA123300680	Coprococcus phoceensis	1870993	Faecalimonas phoceensis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas phoceensis	DOGMAG_ASM032	SAMEA117492696,SAMEA117492697	138	2216440	87.6	0.44	24628	ERZ29813485	submitted_multi_contig
DOGMAG_ANI95_MAG058	ERS31049505	SAMEA123300681	Segatella copri	165179	Prevotella copri_B	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	DOGMAG_ASM014	ERS30645990,ERS30645991	3	3694854	95.72	1.35	3648505	ERZ29813486	submitted_multi_contig
DOGMAG_ANI95_MAG059	ERS31049506	SAMEA123300682	uncultured Eubacterium sp.	165185	Lachnospira sp900552795	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900552795	DOGMAG_ASM026	ERS30645932,ERS30645933	6	2297775	92.43	0.11	2016630	ERZ29813487	submitted_multi_contig
DOGMAG_ANI95_MAG060	ERS31049507	SAMEA123300683	Limosilactobacillus reuteri subsp. reuteri	557436	Limosilactobacillus reuteri	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri	DOGMAG_ASM017	ERS30645944,ERS30645945	68	1779015	97.69	0.0	45919	ERZ29813488	submitted_multi_contig
DOGMAG_ANI95_MAG061	ERS31049508	SAMEA123300684	Bacteroides hominis	2763023	Bacteroides hominis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	DOGMAG_ASM034	ERS30645968,ERS30645969	16	2571630	64.31	0.0	390819	ERZ29813489	submitted_multi_contig
DOGMAG_ANI95_MAG062	ERS31049509	SAMEA123300685	Collinsella intestinalis DSM 13280	521003	Collinsella intestinalis	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	DOGMAG_ASM027	ERS30645994,ERS30645995	3	1963744	97.58	0.0	1934286	ERZ29813490	submitted_multi_contig
DOGMAG_ANI95_MAG063	ERS31049510	SAMEA123300686	uncultured Phascolarctobacterium sp.	512296	Phascolarctobacterium_A sp900552855	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	DOGMAG_ASM023	ERS30645978,ERS30645979	2	2156141	99.83	0.9	2150545	ERZ29813491	submitted_multi_contig
DOGMAG_ANI95_MAG064	ERS31049511	SAMEA123300687	Alitiscatomonas aceti	2981724	Alitiscatomonas aceti	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	DOGMAG_ASM031	ERS30645962	52	2385873	81.32	0.67	79824	ERZ29813492	submitted_multi_contig
DOGMAG_ANI95_MAG065	ERS31049512	SAMEA123300688	uncultured Collinsella sp.	165190	Collinsella sp902470815	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902470815	DOGMAG_ASM026	ERS30645932,ERS30645933	14	1884439	88.27	0.0	265000	ERZ29813493	submitted_multi_contig
DOGMAG_ANI95_MAG066	ERS31049513	SAMEA123300689	Streptococcus lutetiensis	150055	Streptococcus lutetiensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	DOGMAG_ASM020	ERS30645972,ERS30645973	1	1922365	100.0	0.0	1922365		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG067	ERS31049514	SAMEA123300690	uncultured Fusobacterium sp.	159267	Fusobacterium_A sp900543175	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900543175	DOGMAG_ASM037	ERS30645940,ERS30645941	287	1518572	75.28	1.12	7871	ERZ29813494	submitted_multi_contig
